t,scen_name,t_year,Labr,TFPr,gr_Dcrb,Dcrb,cost1_Abat,CEms_land,CEms_land_cum
24,DICE_exogn_vars_default,120,11316.335090616962,20.5006079960022,-0.013547985836042154,0.06692185548390306,0.0079079420179696,0.15655558812542988,31.578918046853225
25,DICE_exogn_vars_default,125,11340.77495699495,21.416496684757064,-0.013480381251308172,0.06253870677502,0.007205249344816083,0.13855169549100546,31.792441762245247
26,DICE_exogn_vars_default,130,11361.982524452027,22.34865190104448,-0.01341311401412772,0.05846239734823147,0.006567216810422251,0.12261825050953983,31.981410250367187
27,DICE_exogn_vars_default,135,11380.380318589312,23.296344117860993,-0.013346182441133135,0.05467016861436413,0.005987696279523827,0.10851715170094274,32.1486473623551
28,DICE_exogn_vars_default,140,11396.336876618581,24.25882460485651,-0.013279584857356775,0.05114103892243911,0.0054611425360823855,0.09603767925533432,32.29665220646441
29,DICE_exogn_vars_default,145,11410.173331525233,25.23532803113911,-0.013213319596189101,0.04785565824923234,0.00498255240712118,0.08499334614097089,32.42763649350114
30,DICE_exogn_vars_default,150,11422.169273990849,26.225075031864588,-0.013147384999336974,0.044796175283925974,0.004547410205552232,0.07521911133475923,32.54355758752865
31,DICE_exogn_vars_default,155,11432.567949731294,27.227274727165423,-0.013081779416782157,0.04194611580867019,0.004151638818606141,0.06656891353126192,32.646147755743
32,DICE_exogn_vars_default,160,11441.580851653025,28.24112718303106,-0.013016501206740015,0.03929027137692124,0.003791555842056598,0.058913488475166795,32.736940054612695
33,DICE_exogn_vars_default,165,11449.391765481925,29.265825804808316,-0.01295154873561844,0.036814597382862614,0.003463834225777235,0.052138437300522616,32.81729123911238
34,DICE_exogn_vars_default,170,11456.160325138086,30.30055965503806,-0.012886920377976962,0.03450611969799283,0.003165466954222473,0.04614251701096252,32.8884020373946
35,DICE_exogn_vars_default,175,11462.025130744276,31.34451568837294,-0.012822614516486076,0.0323528491259234,0.002893735337018719,0.040836127554701826,32.95133509387436
36,DICE_exogn_vars_default,180,11467.106478214737,32.396880897323044,-0.012758629541886765,0.030343702994335833,0.002646180530723168,0.03613997288591112,33.00703084885895
37,DICE_exogn_vars_default,185,11471.508745191126,33.45684436354579,-0.012694963852950235,0.028468433264582364,0.00242057795360431,0.03198387600403134,33.05632159202032
38,DICE_exogn_vars_default,190,11475.322473890456,34.52359921032701,-0.012631615856437836,0.02671756059519818,0.0022149142915954,0.028305730263567735,33.09994389971813
39,DICE_exogn_vars_default,195,11478.626187350132,35.59634445278772,-0.012568583967061198,0.025082313846178605,0.002027366825877534,0.02505057128325745,33.13854964203068
40,DICE_exogn_vars_default,200,11481.487971688384,36.67428674319168,-0.012505866607442554,0.023554574556762988,0.0018562848413119148,0.02216975558568284,33.1727157239773
41,DICE_exogn_vars_default,205,11483.96685339781,37.756642009519815,-0.012443462208075266,0.022126825971108124,0.0017001729005588714,0.019620233693329315,33.20295270650005
42,DICE_exogn_vars_default,210,11486.113997381164,38.84263698621652,-0.012381369207284554,0.02079210622403429,0.001557675791546316,0.017363906818596442,33.229712436032685
43,DICE_exogn_vars_default,215,11487.973748430022,39.93151063669886,-0.012319586051188406,0.01954396533335181,0.001427564976294103,0.015367057534457853,33.25339479666907
44,DICE_exogn_vars_default,220,11489.584536133172,41.02251546785188,-0.012258111193658702,0.01837642567645594,0.001308726387239455,0.0135998459179952,33.27435368583227
45,DICE_exogn_vars_default,225,11490.979660770285,42.114918737311214,-0.012196943096282511,0.01728394565721001,0.0012001494333868108,0.01203586363742575,33.2929023027417
46,DICE_exogn_vars_default,230,11492.187975579365,43.20800355485918,-0.012136080228323604,0.016261386294890445,0.00110091709304014,0.01065173931912179,33.30931782870655
47,DICE_exogn_vars_default,235,11493.234478863882,44.30106987973249,-0.012075521066684134,0.015303980490384186,0.0010101969827592749,0.009426789297422784,33.32384556918544
48,DICE_exogn_vars_default,240,11494.140827705703,45.393435416060505,-0.012015264095866536,0.014407304746129003,0.0009272333036848276,0.008342708528219164,33.33670261950925
49,DICE_exogn_vars_default,245,11494.925783551995,46.484436409024276,-0.011955307807935587,0.013567253135667392,0.0008513395766502347,0.007383297047473961,33.34808110904583
50,DICE_exogn_vars_default,250,11495.605598627271,47.57342834464963,-0.011895650702480675,0.012780013336324357,0.0007818920866788732,0.006534217887014455,33.3581510722857
51,DICE_exogn_vars_default,255,11496.194350966784,48.65978655642539,-0.011836291286578256,0.012042044554579781,0.0007183239656684225,0.005782782830007793,33.36706298975299
52,DICE_exogn_vars_default,260,11496.704234855868,49.74290674217189,-0.011777228074754488,0.01135005718833347,0.0006601198493998016,0.0051177628045568965,33.37495003671154
53,DICE_exogn_vars_default,265,11497.145812575862,50.82220539477826,-0.011718459588948058,0.010700994083587493,0.0006068110515683723,0.004529220082032854,33.38193007326986
54,DICE_exogn_vars_default,270,11497.528232585137,51.89712015058167,-0.011659984358473192,0.010092013255215745,0.0005579712034044704,0.004008359772599075,33.38810740562396
55,DICE_exogn_vars_default,275,11497.85941859073,52.96711005928074,-0.011601800919982856,0.009520471952562922,0.0005132123127032663,0.003547398398750182,33.39357434475735
56,DICE_exogn_vars_default,280,11498.146233379515,54.03165577936091,-0.01154390781743213,0.008983911960712423,0.00047218120078675307,0.003139447582893911,33.39841258589039
57,DICE_exogn_vars_default,285,11498.394620767363,55.09025970306462,-0.011486303602041774,0.008480046037473767,0.00043455628013235666,0.0027784111108611113,33.402694429293135
58,DICE_exogn_vars_default,290,11498.609728580654,56.142446014966126,-0.01142898683226197,0.00800674539454547,0.0004000446391757621,0.0024588938331120834,33.40648386070457
59,DICE_exogn_vars_default,295,11498.796015198392,57.1877606882122,-0.011371956073736247,0.007562028138981767,0.0003683794041768655,0.002176121042304194,33.40983750750369
60,DICE_exogn_vars_default,300,11498.957341847823,58.22577142246815,-0.01131520989926559,0.007144048598097259,0.00033931735106895576,0.0019258671224392115,33.41280548492091
61,DICE_exogn_vars_default,305,11499.097052555,59.256067527566486,-0.01125874688877272,0.006751087457342422,0.0003126367429294423,0.0017043924033587022,33.415432144935146
62,DICE_exogn_vars_default,310,11499.21804339893,60.278259756794654,-0.011202565629266558,0.006381542646529313,0.0002881353711487977,0.0015083872769724516,33.417756739047746
63,DICE_exogn_vars_default,315,11499.32282249836,61.29198009368123,-0.011146664714806864,0.006033920915130103,0.000265628780562382,0.0013349227401206196,33.4198140048374
64,DICE_exogn_vars_default,320,11499.413561969866,62.29688149604908,-0.011091042746469052,0.005706830042256041,0.0002449486607738112,0.0011814066250067485,33.42163468506124
65,DICE_exogn_vars_default,325,11499.492142930712,63.292637601000465,-0.011035698332309189,0.00539897163139184,0.00022594138766201383,0.0010455448631309723,33.42324598705934
66,DICE_exogn_vars_default,330,11499.560194476675,64.27894239438568,-0.01098063008732915,0.00510913444404709,0.00020846670064807212,0.0009253072038709105,33.424671989327656
67,DICE_exogn_vars_default,335,11499.619127440863,65.25550984818442,-0.01092583663344197,0.0048361882302259485,0.00019239650272109309,0.0008188968754257558,33.425934001335115
68,DICE_exogn_vars_default,340,11499.670163631874,66.2220735290999,-0.010871316599437348,0.004579078017039248,0.00017761377150142952,0.0007247237347517938,33.42705088196172
69,DICE_exogn_vars_default,345,11499.714361156297,67.17838618153098,-0.010817068620947334,0.004336818819917369,0.00016401157076952424,0.0006413805052553376,33.42803932131626
70,DICE_exogn_vars_default,350,11499.752636349696,68.12421928794862,-0.010763091340412196,0.0041084907437526925,0.00015149215292283632,0.0005676217471509738,33.428914090145035
71,DICE_exogn_vars_default,355,11499.785782770112,69.059362609561,-0.01070938340704643,0.003893234443930323,0.00013996614375367625,0.0005023452462286119,33.4296882605585
72,DICE_exogn_vars_default,360,11499.814487647387,69.98362371000806,-0.010655943476804972,0.0036902469196158838,0.0001293518017780058,0.00044457554291232144,33.43037340137442
73,DICE_exogn_vars_default,365,11499.839346129002,70.89682746468156,-0.010602770212349549,0.0034987776138785173,0.00011957434509891143,0.0003934493554774045,33.4309797509965
74,DICE_exogn_vars_default,370,11499.860873617496,71.79881555812278,-0.010549862283015226,0.003318124797253144,0.00011056533946708129,0.000348202679597503,33.43151637041204
75,DICE_exogn_vars_default,375,11499.87951645509,72.68944597180595,-0.010497218364777097,0.003147632213204307,0.00010226214181187296,0.00030815937144379013,33.4319912785948
76,DICE_exogn_vars_default,380,11499.895661176868,73.56859246447446,-0.01044483714021715,0.0029866859656588842,9.460739406729953e-05,0.0002727210437277543,33.43241157233654
77,DICE_exogn_vars_default,385,11499.90964252424,74.43614404705693,-0.010392717298491309,0.002834711630339753,8.754856261363185e-05,0.00024135812369906255,33.43278353229798
78,DICE_exogn_vars_default,390,11499.9217503848,75.29200445405392,-0.010340857535296618,0.0026911715730690254,8.103751910281805e-05,0.00021360193947367036,33.43311271686385
79,DICE_exogn_vars_default,395,11499.932235802344,76.13609161315284,-0.010289256552838607,0.0025555624595286533,7.503015883948863e-05,0.00018903771643419826,33.433404045204654
80,DICE_exogn_vars_default,400,11499.941316181661,76.96833711469876,-0.010237913059798813,0.0024274129421779688,6.948605325337238e-05,0.00016729837904426545,33.43366187078626
81,DICE_exogn_vars_default,405,11499.949179795942,77.78868568252385,-0.010186825771302466,0.002306281511141129,6.436813332745863e-05,0.00014805906545417493,33.43389004642598
82,DICE_exogn_vars_default,410,11499.955989690256,78.59709464751678,-0.010135993408886334,0.002191754496900748,5.964240114276664e-05,0.0001310322729269448,33.434091981867134
83,DICE_exogn_vars_default,415,11499.961887061989,79.39353342519684,-0.010085414700466727,0.002083444213574808,5.527766696831647e-05,0.00011596356154034616,33.434270694732554
84,DICE_exogn_vars_default,420,11499.966994188353,80.17798299844571,-0.010035088380307668,0.001980987232419069,5.1245309566701756e-05,0.00010262775196320636,33.43442885561845
85,DICE_exogn_vars_default,425,11499.971416961618,80.95043540644326,-0.009985013188989214,0.0018840427759930702,4.751905760412414e-05,9.082556048743763e-05,33.43456882800247
86,DICE_exogn_vars_default,430,11499.97524708464,81.71089324075061,-0.00993518787337594,0.0017922912241600468,4.40747902511674e-05,8.03806210313823e-05,33.43469270356233
87,DICE_exogn_vars_default,435,11499.978563972207,82.45936914938797,-0.009885611186585583,0.0017054327237650618,4.089035523905031e-05,7.113684961277334e-05,33.4348023334328
88,DICE_exogn_vars_default,440,11499.981436397613,83.19588534966132,-0.009836281887957828,0.001623185894456124,3.794540279746513e-05,6.29561119073044e-05,33.43489935586817
89,DICE_exogn_vars_default,445,11499.983923918593,83.92047315040571,-0.00978719874302327,0.0015452866236844403,3.522123404606469e-05,5.5716159037964404e-05,33.43498522072347
90,DICE_exogn_vars_default,450,11499.986078112197,84.63317248422995,-0.009738360523472522,0.0014714869444462748,3.270066254371335e-05,4.930880074859849e-05,33.43506121112041
91,DICE_exogn_vars_default,455,11499.987943644184,85.33403145027054,-0.009689766007125471,0.0014015539898138364,3.036788781912731e-05,4.3638288662509665e-05,33.435128462621705
92,DICE_exogn_vars_default,460,11499.98955919513,86.02310586788933,-0.009641413977900694,0.0013352690187495627,2.8208379814716033e-05,3.861988546632106e-05,33.43518798020035
93,DICE_exogn_vars_default,465,11499.990958262431,86.7004588416816,-0.009593303225785027,0.0012724265081102025,2.6208773273404287e-05,3.4178598637694134e-05,33.435240653257445
94,DICE_exogn_vars_default,470,11499.992169854851,87.3661603380975,-0.009545432546803284,0.0012128333061270518,2.4356771186949473e-05,3.024805979435931e-05,33.43528726891298
95,DICE_exogn_vars_default,475,11499.993219093993,88.02028677392025,-0.009497800742988128,0.0011563078429991623,2.264105650466772e-05,2.676953291800799e-05,33.43532852376813
96,DICE_exogn_vars_default,480,11499.994127735165,88.66292061678958,-0.00945040662235009,0.0011026793945596825,2.105121137434613e-05,2.3691036632437068e-05,33.435365034314934
97,DICE_exogn_vars_default,485,11499.994914618479,89.29414999790782,-0.009403248998847738,0.001051787395273906,1.9577643253173074e-05,2.0966567419706807e-05,33.435397346148854
98,DICE_exogn_vars_default,490,11499.995596059473,89.91406833701869,-0.009356326692358006,0.0010034807971030586,1.8211517286416856e-05,1.8555412166440525e-05,33.435425942121874
99,DICE_exogn_vars_default,495,11499.996186187405,90.52277397970562,-0.009309638528646644,0.0009576174710222173,1.694469440591319e-05,1.6421539767299864e-05,33.435451249558
100,DICE_exogn_vars_default,500,11499.99669723822,91.12036984701648,-0.009263183339338852,0.0009140636482156707,1.576967464971626e-05,1.453306269406038e-05,33.43547364663897
